id;numero;nom;prenom;fonction;dateEmbauche;dateNaissance;matricule;sex;service
1;18;Guy;Gilbert;Production Technician - WC60;2000-07-31;1976-05-15;320-555-0195;M;Production
2;7;Kevin;Brown;Marketing Assistant;2001-02-26;1981-06-03;150-555-0189;M;Marketing
3;14;Roberto;Tamburello;Engineering Manager;2001-12-12;1968-12-13;212-555-0187;M;Engineering
4;3;Rob;Walters;Senior Tool Designer;2002-01-05;1969-01-23;612-555-0100;M;Tool Design
6;267;Thierry;D'Hers;Tool Designer;2002-01-11;1953-08-29;168-555-0183;M;Tool Design
7;112;David;Bradley;Marketing Manager;2002-01-20;1969-04-19;913-555-0172;M;Marketing
9;23;JoLynn;Dobney;Production Supervisor - WC60;2002-01-26;1950-02-16;903-555-0145;F;Production
10;189;Ruth;Ellerbrock;Production Technician - WC10;2002-02-06;1950-07-06;145-555-0130;F;Production
11;3;Gail;Erickson;Design Engineer;2002-02-06;1946-10-29;849-555-0139;F;Engineering
12;189;Barry;Johnson;Production Technician - WC10;2002-02-07;1950-04-27;206-555-0180;M;Production
13;3;Jossef;Goldberg;Design Engineer;2002-02-24;1953-04-11;122-555-0189;M;Engineering
